date, Population, Annual Change
2000,19092380,4.42
2001,19023438,0.43
2002,19112340,0.29
2003,19234939,0.2
2004,19154267,-0.02
2005,19135110,-0.2
2006,19152331,-0.15
2007,19132123,0.15
2008,19212423,0.42
2009,19323466,0.49
2010,19123956,0.48
2011,19423421,0.52
2012,19523462,0.38
2013,19612388,0.27
2014,19653123,0.14
2015,19217321,0.02
2016,19612391,-0.11
2017,19593823,-0.22
2018,19512398,-0.25
2019,19412331,-0.41
2020,20123296,3.31
2021,19857122,-1.25
2022,19677123,-0.91
